Disease_name,Gene_name,Gene_ID,Tissue
Brugada syndrome 2,GPD1L,ENSG00000152642,Heart-Atrium
"Cardiomyopathy, dilated, 1MM",MYBPC3,ENSG00000134571,Heart-Atrium
"Cardiomyopathy, dilated, 1MM",MYBPC3,ENSG00000134571,Heart-Atrium
Left ventricular noncompaction 10,MYBPC3,ENSG00000134571,Heart-Atrium
Left ventricular noncompaction 10,MYBPC3,ENSG00000134571,Heart-Atrium
Myotonic dystrophy 2,CNBP,ENSG00000169714,Heart-Atrium
Jervell and Lange-Nielsen syndrome,KCNQ1,ENSG00000053918,Heart-Atrium
"Muscular dystrophy, limb-girdle, autosomal recessive 7",TCAP,ENSG00000173991,Heart-Atrium
Noonan syndrome 10,LZTR1,ENSG00000099949,Heart-Atrium
Developmental and epileptic encephalopathy 52,SCN1B,ENSG00000105711,Heart-Atrium
Multiple congenital anomalies-hypotonia-seizures syndrome 3,PIGT,ENSG00000124155,Heart-Atrium
"Hemochromatosis, type 4",SLC40A1,ENSG00000138449,Heart-Atrium
"Myopathy, myofibrillar, 4",LDB3,ENSG00000122367,Heart-Atrium
Ritscher-Schinzel syndrome 2,CCDC22,ENSG00000101997,Heart-Atrium
Alagille syndrome 2,NOTCH2,ENSG00000134250,Heart-Atrium
Loeys-Dietz syndrome 5,TGFB3,ENSG00000119699,Heart-Atrium
"Cardiomyopathy, familial hypertrophic",CAV3,ENSG00000182533,Heart-Atrium
"Cardiomyopathy, hypertrophic, 1",MYH7,ENSG00000092054,Heart-Atrium
"Cardiomyopathy, hypertrophic, 1, digenic",MYLK2,ENSG00000101306,Heart-Atrium
Arrhythmogenic right ventricular dysplasia 9,PKP2,ENSG00000057294,Heart-Atrium
"Atrial fibrillation, familial, 7",KCNA5,ENSG00000130037,Heart-Atrium
Noonan syndrome 6,NRAS,ENSG00000213281,Heart-Atrium
"Cardiomyopathy, dilated, 1II",CRYAB,ENSG00000109846,Heart-Atrium
Long QT syndrome 15,CALM2,ENSG00000143933,Heart-Atrium
Cornelia de Lange syndrome 5,HDAC8,ENSG00000147099,Heart-Atrium
"Congenital heart defects, multiple types, 6",GDF1,ENSG00000130283,Heart-Atrium
Frontotemporal dementia and/or amyotrophic lateral sclerosis 6,VCP,ENSG00000165280,Heart-Atrium
Frontotemporal dementia and/or amyotrophic lateral sclerosis 6,VCP,ENSG00000165280,Heart-Atrium
Polyglucosan body myopathy 1 with or without immunodeficiency,RBCK1,ENSG00000125826,Heart-Atrium
"Cardiomyopathy, dilated, 1HH",BAG3,ENSG00000151929,Heart-Atrium
"Epilepsy, generalized, with febrile seizures plus, type 1",SCN1B,ENSG00000105711,Heart-Atrium
"Striatonigral degeneration, childhood-onset",VAC14,ENSG00000103043,Brain-Basal ganglia-Putamen
Neurodegeneration with brain iron accumulation 5,WDR45,ENSG00000196998,Brain-Basal ganglia-Putamen
Infantile neuroaxonal dystrophy 1,PLA2G6,ENSG00000184381,Brain-Basal ganglia-Putamen
Neurodegeneration with brain iron accumulation 4,C19orf12,ENSG00000131943,Brain-Basal ganglia-Putamen
"Striatonigral degeneration, infantile",NUP62,ENSG00000213024,Brain-Basal ganglia-Putamen
Neurodegeneration with brain iron accumulation 3,FTL,ENSG00000087086,Brain-Basal ganglia-Putamen
Neurodegeneration with brain iron accumulation 2B,PLA2G6,ENSG00000184381,Brain-Basal ganglia-Putamen
"Striatal degeneration, autosomal dominant",PDE8B,ENSG00000113231,Brain-Basal ganglia-Putamen
Neurodegeneration with brain iron accumulation 6,COASY,ENSG00000068120,Brain-Basal ganglia-Putamen
Neurodegeneration with brain iron accumulation 1,PANK2,ENSG00000125779,Brain-Basal ganglia-Putamen
"Striatal degeneration, autosomal dominant",PDE10A,ENSG00000112541,Brain-Basal ganglia-Putamen
"Colorectal cancer, hereditary nonpolyposis, type 8",EPCAM,ENSG00000119888,Digestive system-Colon
"Colorectal cancer, hereditary nonpolyposis, type 6",TGFBR2,ENSG00000163513,Digestive system-Colon
Loeys-Dietz syndrome 2,TGFBR2,ENSG00000163513,Digestive system-Colon
Loeys-Dietz syndrome 2,TGFBR2,ENSG00000163513,Digestive system-Colon
Familial adenomatous polyposis 3,NTHL1,ENSG00000065057,Digestive system-Colon
"Adenoma, periampullary, somatic",APC,ENSG00000134982,Digestive system-Colon
Adenomatous polyposis coli,APC,ENSG00000134982,Digestive system-Colon
Gardner syndrome,APC,ENSG00000134982,Digestive system-Colon
Brain tumor-polyposis syndrome 2,APC,ENSG00000134982,Digestive system-Colon
"Colorectal cancer, hereditary nonpolyposis, type 5",MSH6,ENSG00000116062,Digestive system-Colon
"Inflammatory bowel disease 25, early onset, autosomal recessive",IL10RB,ENSG00000243646,Digestive system-Colon
Bardet-Biedl syndrome 6,MKKS,ENSG00000125863,Digestive system-Colon
"Inflammatory bowel disease 28, early onset, autosomal recessive",IL10RA,ENSG00000110324,Digestive system-Colon
"Colorectal cancer, hereditary nonpolyposis, type 2",MLH1,ENSG00000076242,Digestive system-Colon
McKusick-Kaufman syndrome,MKKS,ENSG00000125863,Digestive system-Colon
"Colorectal cancer, hereditary nonpolyposis, type 1",MSH2,ENSG00000095002,Digestive system-Colon
"Colorectal cancer, hereditary nonpolyposis, type 4",PMS2,ENSG00000122512,Digestive system-Colon
"Adenomas, multiple colorectal",MUTYH,ENSG00000132781,Digestive system-Colon
Familial adenomatous polyposis 4,MSH3,ENSG00000113318,Digestive system-Colon
"Colorectal cancer, hereditary nonpolyposis, type 7",MLH3,ENSG00000119684,Digestive system-Colon
"Emery-Dreifuss muscular dystrophy 2, autosomal dominant",LMNA,ENSG00000160789,Adipose-Visceral
Cortisone reductase deficiency 2,HSD11B1,ENSG00000117594,Adipose-Visceral
"Cardiomyopathy, dilated, 1A",LMNA,ENSG00000160789,Adipose-Visceral
Mandibuloacral dysplasia with type B lipodystrophy,ZMPSTE24,ENSG00000084073,Adipose-Visceral
Silver spastic paraplegia syndrome,BSCL2,ENSG00000168000,Adipose-Visceral
"Lipodystrophy, congenital generalized, type 4",CAVIN1,ENSG00000177469,Adipose-Visceral
"Lipodystrophy, familial partial, type 6",LIPE,ENSG00000079435,Adipose-Visceral
"Lipodystrophy, familial partial, type 4",PLIN1,ENSG00000166819,Adipose-Visceral
Mandibuloacral dysplasia,LMNA,ENSG00000160789,Adipose-Visceral
"Lipodystrophy, congenital generalized, type 1",AGPAT2,ENSG00000169692,Adipose-Visceral
Abdominal obesity-metabolic syndrome 3,DYRK1B,ENSG00000105204,Adipose-Visceral
Cortisone reductase deficiency 1,H6PD,ENSG00000049239,Adipose-Visceral
"Lipodystrophy, familial partial, type 2",LMNA,ENSG00000160789,Adipose-Visceral
"Lipodystrophy, congenital generalized, type 2",BSCL2,ENSG00000168000,Adipose-Visceral
"Charcot-Marie-Tooth disease, type 2B1",LMNA,ENSG00000160789,Adipose-Visceral
"Emery-Dreifuss muscular dystrophy 3, autosomal recessive",LMNA,ENSG00000160789,Adipose-Visceral
"Insulin resistance, severe, digenic",PPARG,ENSG00000132170,Adipose-Visceral
"Lipodystrophy, familial partial, type 3",PPARG,ENSG00000132170,Adipose-Visceral
?Cowden syndrome 7,SEC23B,ENSG00000101310,Uterus
Cowden syndrome 1,PTEN,ENSG00000171862,Uterus
Lhermitte-Duclos syndrome,PTEN,ENSG00000171862,Uterus
"Dyserythropoietic anemia, congenital, type II",SEC23B,ENSG00000101310,Uterus
Bardet-Biedl syndrome 6,MKKS,ENSG00000125863,Uterus
Cowden syndrome 6,AKT1,ENSG00000142208,Uterus
Cowden syndrome 5,PIK3CA,ENSG00000121879,Uterus
McKusick-Kaufman syndrome,MKKS,ENSG00000125863,Uterus
Cowden syndrome 4,KLLN,ENSG00000227268,Uterus
46XY sex reversal 7,DHH,ENSG00000139549,Ovary
"Cardiomyopathy, dilated, 1NN",RAF1,ENSG00000132155,Ovary
"Hemochromatosis, type 3",TFR2,ENSG00000106327,Ovary
LEOPARD syndrome 3,BRAF,ENSG00000157764,Ovary
Oocyte maturation defect 1,ZP1,ENSG00000149506,Ovary
46XY sex reversal 9,ZFPM2,ENSG00000169946,Ovary
Warburg micro syndrome 3,RAB18,ENSG00000099246,Ovary
Warburg micro syndrome 2,RAB3GAP2,ENSG00000118873,Ovary
"Hemochromatosis, type 2B",HAMP,ENSG00000105697,Ovary
Ovarian dysgenesis 3,PSMC3IP,ENSG00000131470,Ovary
46XY sex reversal 6,MAP3K1,ENSG00000095015,Ovary
Hypogonadotropic hypogonadism 23 with or without anosmia,LHB,ENSG00000104826,Ovary
46XY sex reversal 1,SRY,ENSG00000184895,Ovary
Hypogonadotropic hypogonadism 19 with or without anosmia,DUSP6,ENSG00000139318,Ovary
LEOPARD syndrome 2,RAF1,ENSG00000132155,Ovary
Hypogonadotropic hypogonadism 1 with or without anosmia (Kallmann syndrome 1),ANOS1,ENSG00000011201,Ovary
"3-methylglutaconic aciduria, type V",DNAJC19,ENSG00000205981,Ovary
Hypogonadotropic hypogonadism 17 with or without anosmia,SPRY4,ENSG00000187678,Ovary
Hypogonadotropic hypogonadism 18 with or without anosmia,IL17RD,ENSG00000144730,Ovary
Hypogonadotropic hypogonadism 2 with or without anosmia,FGFR1,ENSG00000077782,Ovary
Cardiofaciocutaneous syndrome,BRAF,ENSG00000157764,Ovary
Hypogonadotropic hypogonadism 9 with or without anosmia,NSMF,ENSG00000165802,Ovary
Hypogonadotropic hypogonadism 10 with or without anosmia,TAC3,ENSG00000166863,Ovary
Hypogonadotropic hypogonadism 24 without anosmia,FSHB,ENSG00000131808,Ovary
Ovarian dysgenesis 1,FSHR,ENSG00000170820,Ovary
Hypogonadotropic hypogonadism 8 with or without anosmia,KISS1R,ENSG00000116014,Ovary
Hypogonadotropic hypogonadism 7 without anosmia,GNRHR,ENSG00000109163,Ovary
LEOPARD syndrome 1,PTPN11,ENSG00000179295,Ovary
Warburg micro syndrome 4,TBC1D20,ENSG00000125875,Ovary
Hypogonadotropic hypogonadism 3 with or without anosmia,PROKR2,ENSG00000101292,Ovary
Hypogonadotropic hypogonadism 14 with or without anosmia,WDR11,ENSG00000120008,Ovary
Hypogonadotropic hypogonadism 4 with or without anosmia,PROK2,ENSG00000163421,Ovary
46XY sex reversal 3,NR5A1,ENSG00000136931,Ovary
46XY sex reversal 8,AKR1C2,ENSG00000151632,Ovary
"{46XY sex reversal 8, modifier of}",AKR1C4,ENSG00000198610,Ovary
"Hemochromatosis, type 4",SLC40A1,ENSG00000138449,Ovary
Hypogonadotropic hypogonadism 11 with or without anosmia,TACR3,ENSG00000169836,Ovary
Ovarian dysgenesis 2,BMP15,ENSG00000130385,Ovary
Ovarian dysgenesis 2,BMP15,ENSG00000130385,Ovary
Premature ovarian failure 4,BMP15,ENSG00000130385,Ovary
Premature ovarian failure 4,BMP15,ENSG00000130385,Ovary
Neu-Laxova syndrome 2,PSAT1,ENSG00000135069,Ovary
Noonan syndrome 5,RAF1,ENSG00000132155,Ovary
Oocyte maturation defect 2,TUBB8,ENSG00000261456,Ovary
Hypogonadotropic hypogonadism 21 with anosmia,FLRT3,ENSG00000125848,Ovary
"Hypogonadotropic hypogonadism 22, with or without anosmia",FEZF1,ENSG00000128610,Ovary
"Anemia, sideroblastic, 4",HSPA9,ENSG00000113013,Ovary
"Hemochromatosis, type 2A",HJV,ENSG00000168509,Ovary
Noonan syndrome 1,PTPN11,ENSG00000179295,Ovary
Bjornstad syndrome,BCS1L,ENSG00000074582,Ovary
Hypogonadotropic hypogonadism 6 with or without anosmia,FGF8,ENSG00000107831,Ovary
"Hydatidiform mole, recurrent, 1",NLRP7,ENSG00000167634,Ovary
Noonan syndrome 7,BRAF,ENSG00000157764,Ovary
Neu-Laxova syndrome 1,PHGDH,ENSG00000092621,Ovary
Hypogonadotropic hypogonadism 20 with or without anosmia,FGF17,ENSG00000158815,Ovary
"Hydatidiform mole, recurrent, 2",KHDC3L,ENSG00000203908,Ovary
Even-plus syndrome,HSPA9,ENSG00000113013,Ovary
GRACILE syndrome,BCS1L,ENSG00000074582,Ovary
Spermatogenic failure 8,NR5A1,ENSG00000136931,Ovary
Hypogonadotropic hypogonadism 5 with or without anosmia,CHD7,ENSG00000171316,Ovary
Warburg micro syndrome 1,RAB3GAP1,ENSG00000115839,Ovary
Ovarian dysgenesis 4,MCM9,ENSG00000111877,Ovary
"46XY sex reversal 2, dosage-sensitive",NR0B1,ENSG00000169297,Ovary
Hemochromatosis,HFE,ENSG00000010704,Ovary
"{HFE hemochromatosis, modifier of}",BMP2,ENSG00000125845,Ovary
"Mitochondrial complex III deficiency, nuclear type 1",BCS1L,ENSG00000074582,Ovary
"Cardiomyopathy, dilated, 1G",TTN,ENSG00000155657,Heart-Ventricle
?Brugada syndrome 6,KCNE3,ENSG00000175538,Heart-Ventricle
"Hemochromatosis, type 3",TFR2,ENSG00000106327,Heart-Ventricle
"Heart block, nonprogressive",SCN5A,ENSG00000183873,Heart-Ventricle
"Heart block, progressive, type IA",SCN5A,ENSG00000183873,Heart-Ventricle
Noonan syndrome 7,BRAF,ENSG00000157764,Heart-Ventricle
"Myopathy, myofibrillar, 7",KY,ENSG00000174611,Heart-Ventricle
"Cardiac conduction defect, nonspecific",SCN1B,ENSG00000105711,Heart-Ventricle
Brugada syndrome 5,SCN1B,ENSG00000105711,Heart-Ventricle
"Myopathy, myofibrillar, 5",FLNC,ENSG00000128591,Heart-Ventricle
"Cardiomyopathy, familial hypertrophic, 26",FLNC,ENSG00000128591,Heart-Ventricle
"Cardiomyopathy, familial hypertrophic, 26",FLNC,ENSG00000128591,Heart-Ventricle
"Cardiomyopathy, familial restrictive 5",FLNC,ENSG00000128591,Heart-Ventricle
"Cardiomyopathy, familial restrictive 5",FLNC,ENSG00000128591,Heart-Ventricle
"Emery-Dreifuss muscular dystrophy 1, X-linked",EMD,ENSG00000102119,Heart-Ventricle
"Cardiomyopathy, dilated, 3B",DMD,ENSG00000198947,Heart-Ventricle
"Myopathy, myofibrillar, 3",MYOT,ENSG00000120729,Heart-Ventricle
"Myopathy, myofibrillar, fatal infantile hypertonic, alpha-B crystallin-related",CRYAB,ENSG00000109846,Heart-Ventricle
Brugada syndrome 4,CACNB2,ENSG00000165995,Heart-Ventricle
Brugada syndrome 3,CACNA1C,ENSG00000151067,Heart-Ventricle
Jervell and Lange-Nielsen syndrome 2,KCNE1,ENSG00000180509,Heart-Ventricle
"Cardiomyopathy, dilated, 1Z",TNNC1,ENSG00000114854,Heart-Ventricle
Left ventricular noncompaction 9,TPM1,ENSG00000140416,Heart-Ventricle
Left ventricular noncompaction 9,TPM1,ENSG00000140416,Heart-Ventricle
"Cardiomyopathy, dilated, 1Y",TPM1,ENSG00000140416,Heart-Ventricle
"Cardiomyopathy, dilated, 1Y",TPM1,ENSG00000140416,Heart-Ventricle
"Atrial septal defect 7, with or without AV conduction defects",NKX2-5,ENSG00000183072,Heart-Ventricle
Long QT syndrome 1,KCNQ1,ENSG00000053918,Heart-Ventricle
"{Long QT syndrome 1, acquired, susceptibility to}",KCNQ1,ENSG00000053918,Heart-Ventricle
Noonan syndrome 1,PTPN11,ENSG00000179295,Heart-Ventricle
Atrioventricular septal defect 3,GJA1,ENSG00000152661,Heart-Ventricle
Atrial septal defect 3,MYH6,ENSG00000197616,Heart-Ventricle
Multiple congenital anomalies-hypotonia-seizures syndrome 2,PIGA,ENSG00000165195,Heart-Ventricle
Multiple congenital anomalies-hypotonia-seizures syndrome 2,PIGA,ENSG00000165195,Heart-Ventricle
"Atrial fibrillation, familial, 17",SCN4B,ENSG00000177098,Heart-Ventricle
"Atrial fibrillation, familial, 17",SCN4B,ENSG00000177098,Heart-Ventricle
Long QT syndrome 10,SCN4B,ENSG00000177098,Heart-Ventricle
Long QT syndrome 10,SCN4B,ENSG00000177098,Heart-Ventricle
Long QT syndrome 9,CAV3,ENSG00000182533,Heart-Ventricle
Aicardi-Goutieres syndrome 7,IFIH1,ENSG00000115267,Heart-Ventricle
Singleton-Merten syndrome 2,DDX58,ENSG00000107201,Heart-Ventricle
Left ventricular noncompaction 8,PRDM16,ENSG00000142611,Heart-Ventricle
Left ventricular noncompaction 8,PRDM16,ENSG00000142611,Heart-Ventricle
"Cardiomyopathy, dilated, 1LL",PRDM16,ENSG00000142611,Heart-Ventricle
"Cardiomyopathy, dilated, 1LL",PRDM16,ENSG00000142611,Heart-Ventricle
Atrial septal defect 2,GATA4,ENSG00000136574,Heart-Ventricle
Arrhythmogenic right ventricular dysplasia 2,RYR2,ENSG00000198626,Heart-Ventricle
Atrial septal defect 9,GATA6,ENSG00000141448,Heart-Ventricle
Tuberous sclerosis-1,TSC1,ENSG00000165699,Heart-Ventricle
"Cardiomyopathy, dilated, 1P",PLN,ENSG00000198523,Heart-Ventricle
Short QT syndrome 3,KCNJ2,ENSG00000123700,Heart-Ventricle
Short QT syndrome 2,KCNQ1,ENSG00000053918,Heart-Ventricle
Short QT syndrome 1,KCNH2,ENSG00000055118,Heart-Ventricle
"Robinow syndrome, autosomal dominant 3",DVL3,ENSG00000161202,Heart-Ventricle
Arrhythmogenic right ventricular dysplasia 12,JUP,ENSG00000173801,Heart-Ventricle
"Cardiomyopathy, hypertrophic, 24",LDB3,ENSG00000122367,Heart-Ventricle
"Cardiomyopathy, hypertrophic, 24",LDB3,ENSG00000122367,Heart-Ventricle
"Cardiomyopathy, hypertrophic, 24",LDB3,ENSG00000122367,Heart-Ventricle
"Cardiomyopathy, dilated, 1C, with or without LVNC",LDB3,ENSG00000122367,Heart-Ventricle
"Cardiomyopathy, dilated, 1C, with or without LVNC",LDB3,ENSG00000122367,Heart-Ventricle
"Cardiomyopathy, dilated, 1C, with or without LVNC",LDB3,ENSG00000122367,Heart-Ventricle
Left ventricular noncompaction 3,LDB3,ENSG00000122367,Heart-Ventricle
Left ventricular noncompaction 3,LDB3,ENSG00000122367,Heart-Ventricle
Left ventricular noncompaction 3,LDB3,ENSG00000122367,Heart-Ventricle
Noonan syndrome 4,SOS1,ENSG00000115904,Heart-Ventricle
Adams-Oliver syndrome 5,NOTCH1,ENSG00000148400,Heart-Ventricle
Neu-Laxova syndrome 1,PHGDH,ENSG00000092621,Heart-Ventricle
"?Cardiomyopathy, dilated, 1J",EYA4,ENSG00000112319,Heart-Ventricle
Atrioventricular septal defect 5,GATA6,ENSG00000141448,Heart-Ventricle
"Hypothyroidism, congenital nongoitrous, 5",NKX2-5,ENSG00000183072,Heart-Ventricle
"Cardiac arrhythmia, ankyrin-B-related",ANK2,ENSG00000145362,Heart-Ventricle
Long QT syndrome 4,ANK2,ENSG00000145362,Heart-Ventricle
Atrioventricular septal defect 4,GATA4,ENSG00000136574,Heart-Ventricle
Long QT syndrome 3,SCN5A,ENSG00000183873,Heart-Ventricle
Ventricular septal defect 2,CITED2,ENSG00000164442,Heart-Ventricle
Brugada syndrome 1,SCN5A,ENSG00000183873,Heart-Ventricle
"Progressive familial heart block, type IB",TRPM4,ENSG00000130529,Heart-Ventricle
"Cardiomyopathy, hypertrophic, 18",PLN,ENSG00000198523,Heart-Ventricle
"Cardiomyopathy, hypertrophic, 20",NEXN,ENSG00000162614,Heart-Ventricle
"Cardiomyopathy, dilated, 1X",FKTN,ENSG00000106692,Heart-Ventricle
Atrial septal defect 5,ACTC1,ENSG00000159251,Heart-Ventricle
"Emery-Dreifuss muscular dystrophy 6, X-linked",FHL1,ENSG00000022267,Heart-Ventricle
"Myopathy, X-linked, with postural muscle atrophy",FHL1,ENSG00000022267,Heart-Ventricle
"Myopathy, myofibrillar, 6",BAG3,ENSG00000151929,Heart-Ventricle
"Cardiomyopathy, familial restrictive, 1",TNNI3,ENSG00000129991,Heart-Ventricle
"Thyroid carcinoma, follicular, somatic",NRAS,ENSG00000213281,Heart-Ventricle
"{Thyroid carcinoma, follicular}",MINPP1,ENSG00000107789,Heart-Ventricle
"Thyroid carcinoma, follicular, somatic",HRAS,ENSG00000174775,Heart-Ventricle
"{Thyroid cancer, nonmedullary, 2}",SRGAP1,ENSG00000196935,Heart-Ventricle
"Atrial fibrillation, familial, 11",GJA5,ENSG00000265107,Heart-Ventricle
"Charcot-Marie-Tooth disease, type 2Y",VCP,ENSG00000165280,Heart-Ventricle
"Cardiomyopathy, dilated, 1W",VCL,ENSG00000035403,Heart-Ventricle
"Emery-Dreifuss muscular dystrophy 7, AD",TMEM43,ENSG00000170876,Heart-Ventricle
Mandibuloacral dysplasia,LMNA,ENSG00000160789,Heart-Ventricle
"Cardiomyopathy, familial hypertrophic, 9",TTN,ENSG00000155657,Heart-Ventricle
Cardiofaciocutaneous syndrome 4,MAP2K2,ENSG00000126934,Heart-Ventricle
"Cardiomyopathy, dilated, 1FF",TNNI3,ENSG00000129991,Heart-Ventricle
"Emery-Dreifuss muscular dystrophy 3, autosomal recessive",LMNA,ENSG00000160789,Heart-Ventricle
Arrhythmogenic right ventricular dysplasia 5,TMEM43,ENSG00000170876,Heart-Ventricle
"Atrial fibrillation, familial, 6",NPPA,ENSG00000175206,Heart-Ventricle
Long QT syndrome 6,KCNE2,ENSG00000159197,Heart-Ventricle
"Cardiomyopathy, hypertrophic, 12",CSRP3,ENSG00000129170,Heart-Ventricle
Cornelia de Lange syndrome 4,RAD21,ENSG00000164754,Heart-Ventricle
Polyglucosan body myopathy 2,GYG1,ENSG00000163754,Heart-Ventricle
"Cardiomyopathy, dilated, 1E",SCN5A,ENSG00000183873,Heart-Ventricle
Left ventricular noncompaction 7,MIB1,ENSG00000101752,Heart-Ventricle
Left ventricular noncompaction 6,TNNT2,ENSG00000118194,Heart-Ventricle
Left ventricular noncompaction 6,TNNT2,ENSG00000118194,Heart-Ventricle
"Cardiomyopathy, dilated, 1D",TNNT2,ENSG00000118194,Heart-Ventricle
"Cardiomyopathy, dilated, 1D",TNNT2,ENSG00000118194,Heart-Ventricle
"{Long QT syndrome 2, acquired, susceptibility to}",KCNH2,ENSG00000055118,Heart-Ventricle
Long QT syndrome 2,KCNH2,ENSG00000055118,Heart-Ventricle
"{Long QT syndrome, acquired, reduced susceptibility to}",ALG10B,ENSG00000175548,Heart-Ventricle
Inclusion body myopathy with early-onset Paget disease and frontotemporal dementia 1,VCP,ENSG00000165280,Heart-Ventricle
"Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 4",FKTN,ENSG00000106692,Heart-Ventricle
"Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 4",FKTN,ENSG00000106692,Heart-Ventricle
"Cardiomyopathy, dilated, 1A",LMNA,ENSG00000160789,Heart-Ventricle
Brugada syndrome 8,HCN4,ENSG00000138622,Heart-Ventricle
"Cardiomyopathy, dilated, 1CC",NEXN,ENSG00000162614,Heart-Ventricle
Brugada syndrome 7,SCN3B,ENSG00000166257,Heart-Ventricle
Brugada syndrome 7,SCN3B,ENSG00000166257,Heart-Ventricle
"Atrial fibrillation, familial, 16",SCN3B,ENSG00000166257,Heart-Ventricle
"Atrial fibrillation, familial, 16",SCN3B,ENSG00000166257,Heart-Ventricle
"Robinow syndrome, autosomal dominant 2",DVL1,ENSG00000107404,Heart-Ventricle
"Ventricular tachycardia, catecholaminergic polymorphic, 2",CASQ2,ENSG00000118729,Heart-Ventricle
"Cardiomyopathy, hypertrophic, 2",TNNT2,ENSG00000118194,Heart-Ventricle
"Atrial fibrillation, familial, 10",SCN5A,ENSG00000183873,Heart-Ventricle
"Cardiomyopathy, hypertrophic, 4",MYBPC3,ENSG00000134571,Heart-Ventricle
"Cardiomyopathy, hypertrophic, 3",TPM1,ENSG00000140416,Heart-Ventricle
"Lipodystrophy, familial partial, type 2",LMNA,ENSG00000160789,Heart-Ventricle
"Nemaline myopathy 11, autosomal recessive",MYPN,ENSG00000138347,Heart-Ventricle
"Charcot-Marie-Tooth disease, type 2B1",LMNA,ENSG00000160789,Heart-Ventricle
"Cardiomyopathy, dilated, 1I",DES,ENSG00000175084,Heart-Ventricle
Geleophysic dysplasia 2,FBN1,ENSG00000166147,Heart-Ventricle
"Robinow syndrome, autosomal dominant 1",WNT5A,ENSG00000114251,Heart-Ventricle
Noonan syndrome 8,RIT1,ENSG00000143622,Heart-Ventricle
"Cardiomyopathy, hypertrophic, 25",TCAP,ENSG00000173991,Heart-Ventricle
Atrial septal defect 6,TLL1,ENSG00000038295,Heart-Ventricle
Cornelia de Lange syndrome 3,SMC3,ENSG00000108055,Heart-Ventricle
Neu-Laxova syndrome 2,PSAT1,ENSG00000135069,Heart-Ventricle
Timothy syndrome,CACNA1C,ENSG00000151067,Heart-Ventricle
"Cardiomyopathy, dilated, 1L",SGCD,ENSG00000170624,Heart-Ventricle
Long QT syndrome 5,KCNE1,ENSG00000180509,Heart-Ventricle
"Cardiomyopathy, dilated, 1U",PSEN1,ENSG00000080815,Heart-Ventricle
"Cardiomyopathy, dilated, 1V",PSEN2,ENSG00000143801,Heart-Ventricle
Rippling muscle disease 2,CAV3,ENSG00000182533,Heart-Ventricle
"Cardiomyopathy, hypertrophic, 7",TNNI3,ENSG00000129991,Heart-Ventricle
"Robinow syndrome, autosomal recessive",ROR2,ENSG00000169071,Heart-Ventricle
"Atrial fibrillation, familial, 3",KCNQ1,ENSG00000053918,Heart-Ventricle
Aortic valve disease 2,SMAD6,ENSG00000137834,Heart-Ventricle
"Cardiomyopathy, dilated, 1JJ",LAMA4,ENSG00000112769,Heart-Ventricle
Hemochromatosis,HFE,ENSG00000010704,Heart-Ventricle
"{HFE hemochromatosis, modifier of}",BMP2,ENSG00000125845,Heart-Ventricle
"Emery-Dreifuss muscular dystrophy 2, autosomal dominant",LMNA,ENSG00000160789,Heart-Ventricle
"Cardiomyopathy, dilated, 1BB",DSG2,ENSG00000046604,Heart-Ventricle
LEOPARD syndrome 3,BRAF,ENSG00000157764,Heart-Ventricle
Van Maldergem syndrome 1,DCHS1,ENSG00000166341,Heart-Ventricle
"Cardiomyopathy, dilated, 1NN",RAF1,ENSG00000132155,Heart-Ventricle
Cornelia de Lange syndrome 1,NIPBL,ENSG00000164190,Heart-Ventricle
"Atrial fibrillation, familial, 9",KCNJ2,ENSG00000123700,Heart-Ventricle
"Cardiomyopathy, familial restrictive, 3",TNNT2,ENSG00000118194,Heart-Ventricle
Left ventricular noncompaction 5,MYH7,ENSG00000092054,Heart-Ventricle
Left ventricular noncompaction 5,MYH7,ENSG00000092054,Heart-Ventricle
"Cardiomyopathy, dilated, 1S",MYH7,ENSG00000092054,Heart-Ventricle
"Cardiomyopathy, dilated, 1S",MYH7,ENSG00000092054,Heart-Ventricle
Left ventricular noncompaction 4,ACTC1,ENSG00000159251,Heart-Ventricle
Left ventricular noncompaction 4,ACTC1,ENSG00000159251,Heart-Ventricle
"Cardiomyopathy, dilated, 1R",ACTC1,ENSG00000159251,Heart-Ventricle
"Cardiomyopathy, dilated, 1R",ACTC1,ENSG00000159251,Heart-Ventricle
"Hemochromatosis, type 2B",HAMP,ENSG00000105697,Heart-Ventricle
"Ventricular tachycardia, catecholaminergic polymorphic, 3",TECRL,ENSG00000205678,Heart-Ventricle
Long QT syndrome 12,SNTA1,ENSG00000101400,Heart-Ventricle
"Paroxysmal nocturnal hemoglobinuria, somatic",PIGA,ENSG00000165195,Heart-Ventricle
"Cardiomyopathy, hypertrophic 6",PRKAG2,ENSG00000106617,Heart-Ventricle
"Cardiomyopathy, hypertrophic, 15",VCL,ENSG00000035403,Heart-Ventricle
"{TSC2 angiomyolipomas, renal, modifier of}",IFNG,ENSG00000111537,Heart-Ventricle
Tuberous sclerosis-2,TSC2,ENSG00000103197,Heart-Ventricle
"Muscular dystrophy, limb-girdle, autosomal recessive 10",TTN,ENSG00000155657,Heart-Ventricle
"Cardiomyopathy, hypertrophic, 14",MYH6,ENSG00000197616,Heart-Ventricle
